"s1","s2","s3","s4","s5","s6","method","em","matches"
6,4,2,1,3,5,"cart",1.37408041954041,11
1,3,4,6,5,2,"cart",1.70556890964508,3
2,5,1,6,3,4,"cart",1.48457586765289,8
5,1,3,2,6,4,"cart",1.7978767156601,8
5,3,4,2,6,1,"cart",1.38599944114685,10
3,2,6,5,1,4,"cart",1.61416971683502,8
1,4,3,2,6,5,"cart",1.78493690490723,4
2,5,6,1,3,4,"cart",1.567178606987,11
6,2,4,3,1,5,"cart",1.40513741970062,14
6,1,5,2,3,4,"cart",1.91738450527191,14
4,1,3,2,5,6,"cart",1.43213081359863,17
4,3,1,6,2,5,"cart",1.28660380840302,7
6,5,1,3,4,2,"cart",1.51119029521942,18
4,1,5,2,6,3,"cart",1.24143886566162,17
2,6,5,3,1,4,"cart",1.68008589744568,17
4,2,6,1,5,3,"cart",1.69750022888184,15
5,3,2,1,6,4,"cart",1.4931036233902,12
3,4,2,5,1,6,"cart",1.93919157981873,8
3,1,5,4,6,2,"cart",1.316690325737,5
1,6,5,4,2,3,"cart",1.69091057777405,12
2,3,6,4,5,1,"cart",1.35289096832275,5
2,6,5,4,3,1,"cart",1.3751072883606,17
6,3,1,5,4,2,"cart",1.56131827831268,8
3,4,1,5,2,6,"cart",1.49313604831696,4
3,4,5,1,6,2,"cart",1.47649252414703,6
4,5,2,1,3,6,"cart",1.41668117046356,17
5,6,2,1,4,3,"cart",1.45381343364716,15
6,5,3,2,4,1,"cart",1.63456082344055,14
5,4,1,2,3,6,"cart",1.39778876304626,15
6,3,4,2,5,1,"cart",1.48727715015411,15
4,1,6,3,5,2,"cart",1.71882665157318,11
5,6,2,4,3,1,"cart",1.51845240592957,8
5,3,2,6,1,4,"cart",1.52989375591278,11
1,2,4,5,3,6,"cart",1.37140393257141,9
6,4,5,3,1,2,"cart",1.67493331432343,18
1,2,3,4,6,5,"cart",1.57493281364441,12
2,4,1,3,6,5,"cart",1.39860332012177,10
6,5,1,2,3,4,"cart",1.30569744110107,21
3,6,5,4,1,2,"cart",1.3847953081131,4
6,4,3,2,5,1,"cart",1.71711897850037,19
3,5,4,2,6,1,"cart",1.3316558599472,6
2,4,3,1,5,6,"cart",1.37716221809387,9
2,1,4,6,3,5,"cart",1.47299087047577,7
2,5,3,4,1,6,"cart",1.3834890127182,18
4,5,2,1,6,3,"cart",1.48490476608276,8
5,2,4,6,1,3,"cart",1.55657911300659,13
1,2,6,4,5,3,"cart",1.52921915054321,9
6,1,3,4,2,5,"cart",1.30940675735474,8
6,2,1,4,3,5,"cart",2.05939984321594,9
3,6,5,4,2,1,"cart",1.42088854312897,10
5,1,3,4,6,2,"cart",1.57739818096161,9
1,4,5,3,2,6,"cart",1.50242102146149,13
6,3,2,1,5,4,"cart",1.84680533409119,8
1,5,6,4,3,2,"cart",1.35731911659241,18
1,2,6,3,4,5,"cart",1.7412885427475,13
1,4,5,2,3,6,"cart",1.52915573120117,15
2,4,1,3,6,5,"cart",1.51873934268951,12
1,2,3,5,6,4,"cart",1.49169707298279,9
1,6,2,3,4,5,"cart",1.43797886371613,11
3,4,6,5,2,1,"cart",1.64411735534668,7
4,1,5,3,2,6,"cart",1.5450005531311,8
4,5,3,6,1,2,"cart",1.38702499866486,21
2,3,6,1,5,4,"cart",1.40835809707642,11
4,5,6,1,2,3,"cart",1.59303665161133,13
6,2,4,1,5,3,"cart",1.56676697731018,17
2,6,1,3,5,4,"cart",1.53512072563171,11
6,1,4,5,2,3,"cart",1.31192624568939,21
1,2,6,5,4,3,"cart",1.46373963356018,17
4,5,1,6,2,3,"cart",1.56295883655548,9
5,4,2,6,1,3,"cart",1.57887768745422,13
5,4,3,6,1,2,"cart",1.25371658802032,17
2,5,6,4,1,3,"cart",1.53917610645294,15
5,6,3,4,1,2,"cart",1.4531991481781,18
1,2,4,6,5,3,"cart",1.75878393650055,11
5,1,2,6,4,3,"cart",1.55129611492157,7
1,2,5,4,3,6,"cart",1.38295006752014,16
2,1,6,5,4,3,"cart",1.63403332233429,18
6,5,4,2,1,3,"cart",1.52201998233795,16
5,1,6,3,2,4,"cart",1.30863177776337,22
1,3,5,6,2,4,"cart",1.35721230506897,9
5,4,3,1,2,6,"cart",1.53532934188843,23
4,1,3,6,2,5,"cart",1.34408044815063,15
3,1,4,5,2,6,"cart",1.54188585281372,8
5,4,2,6,1,3,"cart",1.24895906448364,15
1,3,4,6,2,5,"cart",1.36403501033783,1
4,3,1,5,6,2,"cart",1.66090941429138,11
4,2,1,5,6,3,"cart",1.50990986824036,16
6,4,1,2,5,3,"cart",1.37607669830322,5
4,6,5,3,1,2,"cart",2.12064170837402,10
5,2,3,1,4,6,"cart",1.53168785572052,16
6,2,3,1,5,4,"cart",1.44103181362152,16
2,4,3,1,5,6,"cart",1.50604426860809,18
3,4,2,5,1,6,"cart",1.91472601890564,4
5,1,2,3,4,6,"cart",1.46401345729828,10
5,3,2,6,1,4,"cart",1.45878732204437,11
3,5,6,4,2,1,"cart",1.65034770965576,4
2,6,4,1,5,3,"cart",1.50808489322662,11
3,6,1,2,4,5,"cart",1.77821445465088,9
4,1,3,2,6,5,"cart",1.59783506393433,16
4,1,2,5,3,6,"cart",1.50046586990356,6
1,2,5,4,6,3,"cart",1.39680135250092,8
4,2,6,1,3,5,"cart",1.79125726222992,12
2,1,3,5,6,4,"cart",1.70682728290558,12
3,4,5,6,2,1,"cart",1.56733596324921,8
5,6,4,2,1,3,"cart",1.42206609249115,14
2,3,1,5,4,6,"cart",1.66827738285065,5
3,6,2,4,1,5,"cart",2.02272343635559,8
4,1,6,2,5,3,"cart",1.45283508300781,14
4,6,3,1,2,5,"cart",1.48203837871552,10
3,1,5,4,2,6,"cart",1.50853371620178,2
6,3,4,1,5,2,"cart",1.50382661819458,4
6,1,3,4,2,5,"cart",1.94393754005432,13
6,2,4,1,3,5,"cart",1.4824732542038,9
1,2,3,6,5,4,"cart",1.64952683448792,17
5,3,2,4,1,6,"cart",1.57835149765015,11
5,6,3,4,2,1,"cart",1.41068625450134,19
5,6,2,3,1,4,"cart",1.43762648105621,13
2,5,6,4,3,1,"cart",1.67891311645508,8
5,2,4,6,1,3,"cart",1.50701379776001,15
1,6,4,3,5,2,"cart",1.35389041900635,15
1,6,3,2,4,5,"cart",1.63055062294006,10
1,2,5,3,6,4,"cart",1.81812953948975,17
4,3,6,2,5,1,"cart",1.49322652816772,8
3,5,4,6,1,2,"cart",1.87127935886383,9
2,5,3,1,6,4,"cart",1.75335228443146,9
4,5,6,3,2,1,"cart",1.72688090801239,16
2,4,1,3,5,6,"cart",1.61486756801605,14
6,4,1,3,5,2,"cart",1.90838158130646,13
6,4,5,2,1,3,"cart",1.32619154453278,16
3,4,1,5,6,2,"cart",1.40770375728607,9
5,2,6,3,1,4,"cart",1.63060474395752,18
1,3,6,2,5,4,"cart",1.3800972700119,1
1,2,6,5,4,3,"cart",1.33302009105682,8
6,1,3,2,4,5,"cart",1.5339822769165,13
1,5,2,3,4,6,"cart",1.52513861656189,8
2,5,1,3,4,6,"cart",1.60692203044891,14
1,2,5,4,3,6,"cart",1.48178243637085,13
1,2,5,4,6,3,"cart",1.46884047985077,13
1,6,4,5,3,2,"cart",1.31109714508057,14
6,5,2,3,1,4,"cart",1.76824676990509,16
2,3,6,5,1,4,"cart",1.3761180639267,8
1,5,4,2,3,6,"cart",1.61280584335327,17
6,3,5,4,1,2,"cart",1.46836292743683,10
6,4,1,5,2,3,"cart",1.95920860767365,8
4,1,3,6,5,2,"cart",1.83919513225555,9
6,2,4,1,3,5,"cart",1.65616381168365,16
3,4,2,5,6,1,"cart",1.39817237854004,5
6,3,5,1,2,4,"cart",1.70642030239105,11
6,2,4,3,1,5,"cart",1.52950179576874,13
5,1,4,6,3,2,"cart",1.68842136859894,14
4,3,5,6,2,1,"cart",1.69414138793945,12
5,3,1,6,2,4,"cart",1.60419201850891,10
3,6,2,4,1,5,"cart",2.11998176574707,3
4,5,6,2,3,1,"cart",1.38916492462158,16
2,1,5,3,4,6,"cart",1.56219458580017,10
6,2,4,3,5,1,"cart",1.35444533824921,9
1,2,5,3,4,6,"cart",1.46615469455719,13
5,2,4,1,3,6,"cart",1.54999816417694,11
3,4,5,1,2,6,"cart",1.50027287006378,7
4,6,1,5,2,3,"cart",1.29834425449371,15
5,1,2,6,4,3,"cart",1.76026320457458,9
